ORGANIZATION_NAME,LOCATION_NAME,ADDRESS_1,ADDRESS_2,PHONE,EXT,CASE_MANAGEMENT,CRISIS_INTERVENTION,LEGAL_SERVICES,SAFETY_PLANNING,IMMIGRATION_SERVICES,EMERGENCY_OR_TRANSITIONAL_SHELTER,PERMANENT_HOUSING,HEALTH_CARE,MENTAL_HEALTH_COUNSELING,DRUG_ADDICTION_SCREENING_AND_TREATMENT,LANGUAGE_INTERPRETATION,PUBLIC_BENEFITS,JOB_TRAINING_AND_ECONOMIC_EMPOWERMENT,RESTORATIVE_JUSTICE,OTHER,INTIMATE_PARTNER_VIOLENCE,FAMILY_VIOLENCE,SEXUAL_ASSAULT,VIOLENT_CRIME,PROPERTY/FINANCIAL_CRIMES,AGE_0-5,AGE_5-24,AGE_25-60,AGE_60+,ELIGIBILITY_CRITERIA,MAIN_HOURS_OF_OPERATION,WEEKEND_HOURS_OF_OPERATION,SPANISH,ARABIC,BENGALI,CHINESE,FRENCH,HAITIAN-CREOLE,ITALIAN,KOREAN,POLISH,RUSSIAN,URDU,YIDDISH,OTHER,INTERPRETATION_SERVICE_OFFERED,REFERRAL_REQUIRED,CULTURAL_COMPETENCIES_SPECIALIZATIONS,,BOROUGH,WEBSITE,X,Y
Arab American Family Support Center,Brooklyn Family Justice Center,"350 Jay Street, 15th Floor","Brooklyn, NY 11201",718-250-5035,,1,1,1,1,1,,1,1,1,,1,1,1,1,,1,,1,,,1,1,1,,"Serves victims of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,1,1,1,,,,,,,,1,,Hindi,1,,Arabic and South Asian communities,,Brooklyn,http://www.aafscny.org/,987580,192051
Arab American Family Support Center,Staten Island Family Justice Center,126 Stuyvesant Place ,"Staten Island, NY 10301",718-697-4300,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,1,,,1,1,1,,"Serves victims of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,,1,,,,,,,,,,,,1,,Arabic and South Asian communities,,Staten Island,http://www.aafscny.org/,962810,173464
Arab American Family Support Center,Bronx Family Justice Center,198 E 161st Street ,"Bronx, NY 10451",718-508-1220,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,1,,,1,1,1,,"Serves victims of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,,1,,,,,,,,,1,,"Hindi, Afghani",1,,Arabic and South Asian communities,,Bronx,http://www.aafscny.org/,1006087,240172
Arab American Family Support Center,Queens Family Justice Center,126-02 82nd Avenue ,"Kew Gardens, NY 11415",718-575-4545,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,1,,,1,1,1,,"Serves victims of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,,1,,,,,,,,,,,,1,,Arabic and South Asian communities,,Queens,http://www.aafscny.org/,1032620,199035
Arab American Family Support Center,Manhattan Family Justice Center,80 Centre Street,"New York, NY 10013",212-602-2800,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,1,,,1,1,1,,"Serves victims of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,,1,,,,,,,,,,,,1,,Arabic and South Asian communities,,Manhattan,http://www.aafscny.org/,983921,199805
Association to Benefit Children,All Children's House: East Harlem,1841 Park Avenue,"New York, NY 10035",646-459-6164,,,1,,,,,,,,,,,,,,,1,1,1,,1,,,,Serves children under 5 years of age who are at risk of foster care placement,Call to inquire about hours of operation,,1,,,,,,,,,,,,,,,,,Manhattan,http://www.a-b-c.org/,1001413,232811
Association to Benefit Children,All Children's House: The Bronx,1366 Inwood Avenue ,"Bronx, NY 10452",929-288-4444,,,1,,,,,,,,,,,,,,,1,1,1,,1,,,,Serves children under 5 years of age who are at risk of foster care placement,Call to inquire about hours of operation,,1,,,,,,,,,,,,,,,,,Bronx,http://www.a-b-c.org/,1006723,245279
Association to Benefit Children,Cassidy's Place,419 E 86th Street,"New York, NY 10028",212-845-3821,,,1,,,,,,,1,,,,,,,,1,1,1,,1,,,,Call to confirm eligibility,Monday - Friday: 8 am - 3 pm,,1,,,,,,,,,,,,,,,,,Manhattan,http://www.a-b-c.org/,998542,222279
Association to Benefit Children,Cody House,404 E 91st Street,"New York, NY 10128",212-369-2010,,,1,,,,,,,1,,,,,,,,1,1,1,,1,,,,Call to confirm eligibility,Monday - Friday: 8 am - 3 pm,,,,,,,,,,,,,,,,,,,Manhattan,http://www.a-b-c.org/,999005,223366
Association to Benefit Children,Fast Break Echo Park,1841 Park Avenue,"New York, NY 10035",646-459-6165,,,1,,,,,,,1,,,,,,,,1,1,1,,1,1,,,Serves victims under 17 years of age,Call to inquire about hours of operation,,1,,,,1,,,,1,,,,,,,,,Manhattan,http://www.a-b-c.org/,1001413,232811
